id,x,y
1,1192.32,72.0
2,1199.81,103.3
3,1236.1,198.72
4,1250.88,231.55
5,1258.37,280.13
6,1265.28,279.17
7,1249.92,190.66
8,1249.54,136.7
9,1174.08,156.1
10,1157.18,144.58
11,1119.94,127.3
12,1105.15,124.8
13,1104.0,143.62
14,1092.67,153.02
15,1070.78,151.1
16,1064.45,164.35
17,1080.77,168.0
18,1100.54,165.5
19,1153.73,58.37
20,1141.63,48.77
21,1166.98,33.02
22,1185.79,17.09
23,1143.36,29.38
24,1118.98,36.86
25,1095.74,28.42
26,1050.43,66.05
27,1048.32,16.13
28,1027.58,43.78
29,1004.93,40.9
30,990.91,28.03
31,984.0,37.44
32,968.06,29.57
33,952.13,20.54
34,934.46,21.12
35,887.23,36.48
36,848.64,15.55
37,842.11,41.28
38,777.6,39.74
39,762.82,35.9
40,750.72,58.75
41,780.67,63.17
42,803.52,66.62
43,781.06,85.06
44,789.89,83.14
45,1000.7,103.87
46,982.46,105.02
47,994.37,91.97
48,977.66,81.6
49,963.65,85.44
50,926.02,60.67
51,909.5,59.71
52,917.38,73.15
53,896.26,90.05
54,883.39,96.96
55,874.18,115.2
56,881.86,79.49
57,848.45,88.51
58,840.96,84.48
59,806.98,94.85
60,820.22,93.31
61,833.66,110.4
62,732.86,22.46
63,742.46,36.48
64,720.0,20.93
65,663.94,10.56
66,647.62,44.74
67,667.97,44.93
68,676.42,64.7
69,685.44,70.08
70,657.02,81.98
71,673.54,88.13
72,707.71,134.78
73,718.46,120.19
74,730.94,122.88
75,743.23,115.2
76,763.78,110.4
77,779.71,104.45
78,743.23,96.38
79,730.94,96.58
80,714.43,90.62
81,698.11,99.46
82,799.49,129.79
83,852.48,133.25
84,864.77,148.42
85,886.27,140.54
86,842.11,151.49
87,1161.6,211.01
88,1157.76,238.46
89,1151.62,203.52
90,1130.3,248.83
91,1151.23,261.12
92,1141.25,261.31
93,1143.17,241.34
94,1176.58,281.66
95,1107.46,293.95
96,1105.15,268.22
97,1093.63,265.34
98,1077.7,300.86
99,1068.86,290.11
100,1057.34,292.61
101,1053.89,244.42
102,1050.43,225.98
103,1085.57,226.56
104,1108.61,220.42
105,1035.07,184.32
106,1040.64,169.92
107,1057.54,126.72
108,1066.37,116.74
109,1051.01,106.75
