id,x,y
1,809.66,131.52
2,840.0,178.94
3,818.88,177.02
4,808.13,160.13
5,794.69,144.38
6,793.54,124.99
7,778.94,118.85
8,758.78,125.76
9,780.29,138.62
10,826.56,135.36
11,835.01,88.7
12,811.78,32.64
13,1067.14,301.25
14,1050.24,299.71
15,1063.49,284.35
16,1065.02,334.27
17,1063.87,352.9
18,1070.4,381.5
19,1061.95,365.76
20,833.09,325.82
21,776.26,169.73
22,757.63,177.02
23,744.38,180.29
24,730.18,191.04
25,714.82,187.97
26,733.06,218.88
27,753.98,221.38
28,767.23,214.85
29,778.56,215.81
30,792.77,226.56
31,808.9,223.87
32,819.26,220.61
33,834.24,226.94
34,838.66,241.92
35,684.1,229.82
36,680.06,249.22
37,670.85,229.06
38,651.46,230.21
39,637.82,224.26
40,628.42,233.47
41,616.32,231.36
42,594.62,225.79
43,570.43,237.89
44,620.35,208.13
45,633.02,194.3
46,644.16,204.1
47,669.31,204.48
48,670.08,168.19
49,689.86,172.61
50,691.78,158.02
51,704.45,162.82
52,745.54,76.99
53,765.31,61.63
54,785.86,31.3
55,761.28,20.54
56,663.94,143.04
57,645.5,150.34
58,610.75,141.5
59,589.44,148.03
60,565.63,168.96
61,637.44,100.8
62,618.82,104.06
63,533.18,81.79
64,519.94,90.62
65,607.1,33.02
66,610.75,45.12
67,618.82,33.79
68,650.69,42.62
69,642.62,47.42
70,685.82,48.38
71,687.74,53.95
72,665.66,17.66
73,647.04,9.98
74,701.18,13.63
75,720.58,12.1
76,438.14,149.57
77,408.96,186.24
78,349.63,225.02
79,378.24,222.91
80,392.45,296.83
81,397.63,315.26
82,389.18,316.61
83,390.53,326.21
84,401.66,329.47
85,381.5,354.43
86,373.44,363.84
87,404.16,366.53
88,421.44,346.75
89,396.48,400.9
90,385.15,404.54
91,379.97,427.97
92,407.42,417.02
93,414.34,430.27
94,423.17,397.25
95,424.32,388.42
96,451.01,407.81
97,446.59,423.94
98,465.02,392.06
99,490.56,391.68
100,514.37,388.03
101,496.9,425.86
102,515.14,421.06
103,532.42,431.62
104,556.22,419.52
105,558.34,429.12
106,545.47,440.06
107,547.01,448.13
108,566.02,443.33
109,567.94,448.9
110,559.87,464.26
111,532.03,475.97
112,531.26,463.87
113,506.3,464.64
114,496.9,477.12
115,476.74,482.3
116,465.02,452.93
117,452.93,463.49
118,434.5,477.12
119,417.02,481.15
120,400.13,486.34
121,387.26,484.8
122,378.82,502.08
123,358.08,498.05
124,340.03,506.88
125,337.92,488.83
126,345.98,468.29
127,342.34,422.21
128,329.47,409.34
129,363.84,433.15
130,375.55,446.02
131,367.87,462.53
132,396.86,462.91
133,414.72,508.99
134,571.58,367.49
135,573.7,387.65
136,594.62,389.18
137,585.41,373.44
138,601.54,356.93
139,580.8,297.22
140,587.33,322.94
141,571.97,265.73
142,606.34,279.55
143,607.87,269.38
144,635.33,299.14
145,614.4,378.24
146,622.08,387.07
147,615.94,356.54
148,620.35,353.28
149,631.68,365.76
150,636.1,355.78
151,626.5,334.66
152,644.74,382.27
153,667.97,368.64
154,681.79,339.07
155,660.29,306.05
156,676.03,292.42
157,693.5,296.45
158,706.37,308.93
159,693.12,363.46
160,706.37,369.79
161,724.61,345.22
162,742.27,336.38
163,762.05,308.93
164,809.28,273.02
165,819.84,301.63
166,839.62,307.2
167,785.47,306.05
168,771.84,362.88
169,762.82,362.11
170,760.13,380.35
171,752.45,380.74
172,802.75,358.46
173,815.81,381.89
174,830.21,389.18
175,1072.7,404.54
176,1073.09,443.71
177,1071.55,503.42
178,1071.94,513.41
179,1056.19,534.72
180,1071.55,552.58
181,1065.98,592.13
182,1060.22,588.86
183,1054.66,606.53
184,1041.6,581.95
185,1034.5,544.9
186,1005.7,536.83
187,980.35,508.99
188,980.74,561.41
189,987.26,577.92
190,992.06,592.13
191,983.62,606.14
192,919.49,518.59
193,881.09,523.58
194,872.26,529.15
195,861.31,508.22
196,929.47,539.71
197,910.46,555.84
198,904.9,584.83
199,927.55,584.45
200,964.61,626.3
201,962.11,629.95
202,956.54,638.4
203,962.69,644.93
204,981.89,664.32
205,1032.38,717.89
206,1020.29,714.24
207,968.26,720.38
208,949.63,711.94
209,926.21,729.6
210,916.22,721.92
211,904.13,684.1
212,900.86,675.26
213,927.17,658.18
214,934.27,673.15
215,948.86,688.51
216,921.41,643.39
217,919.49,622.27
218,910.08,610.56
219,879.17,615.55
220,857.66,600.58
221,846.34,584.06
222,874.94,562.56
223,862.08,566.21
224,868.99,549.31
225,851.71,556.99
226,839.62,550.46
227,816.19,546.82
228,844.03,540.86
229,825.79,512.26
230,822.53,425.09
231,777.79,405.31
232,732.67,400.51
233,708.86,405.31
234,701.95,417.41
235,685.06,420.29
236,668.93,431.62
237,680.64,437.57
238,697.92,440.06
239,753.98,443.33
240,759.17,466.94
241,740.35,462.91
242,782.21,456.96
243,812.54,464.64
244,810.82,446.4
245,829.44,462.14
246,840.0,484.42
247,814.46,496.51
248,809.66,507.46
249,791.04,502.85
250,771.26,496.13
251,778.18,487.3
252,752.83,490.37
253,734.59,503.81
254,717.7,481.92
255,707.9,497.66
256,699.46,496.9
257,686.21,496.9
258,686.98,502.08
259,706.37,525.5
260,724.22,516.67
261,733.44,532.03
262,756.86,528.0
263,707.14,546.05
264,713.28,558.14
265,721.73,580.42
266,703.1,589.25
267,738.24,592.9
268,758.4,584.06
269,758.02,591.74
270,785.47,595.78
271,802.37,595.39
272,818.5,587.71
273,826.56,580.8
274,849.22,641.28
275,830.98,635.33
276,865.34,653.38
277,869.76,665.09
278,838.66,690.05
279,840.77,703.1
280,832.7,720.77
281,808.51,694.08
282,825.79,675.26
283,805.25,656.64
284,846.34,665.47
285,860.16,688.9
286,876.29,709.06
287,885.89,724.42
288,875.52,637.63
289,855.36,626.69
290,774.91,673.92
291,765.31,666.62
292,793.15,644.93
293,782.21,641.28
294,784.7,613.82
295,744.77,625.92
296,720.58,610.56
297,729.02,628.03
298,733.06,653.76
299,717.7,643.78
300,752.83,647.42
301,747.07,683.33
302,759.55,689.28
303,764.54,683.33
304,755.14,728.45
305,741.89,728.45
306,726.53,728.06
307,731.71,699.46
308,710.4,701.38
309,705.6,697.34
310,723.65,684.1
311,711.94,675.26
312,703.49,668.74
313,696.77,659.14
314,732.29,664.7
315,691.39,631.3
316,681.79,637.25
317,658.75,633.98
318,673.73,624.0
319,679.68,611.9
320,667.2,606.53
321,648.19,610.56
322,624.38,619.58
323,634.94,424.7
324,610.75,420.29
325,592.51,417.79
326,619.58,396.48
327,586.18,448.13
328,593.09,458.5
329,608.64,452.54
330,639.36,463.49
331,658.37,463.87
332,674.88,475.58
333,657.6,486.72
334,654.72,495.36
335,635.33,477.12
336,618.05,489.6
337,603.07,487.3
338,587.33,475.2
339,567.17,480.38
340,559.49,489.98
341,576.77,509.76
342,560.64,519.94
343,604.61,514.18
344,588.48,518.59
345,618.43,508.22
346,641.86,511.87
347,662.4,513.02
348,658.37,519.94
349,686.21,551.81
350,688.7,559.49
351,668.93,563.52
352,641.86,559.1
353,622.08,555.07
354,595.78,540.86
355,613.25,536.83
356,633.02,540.86
357,647.04,543.36
358,669.31,540.86
359,665.66,588.86
360,647.81,584.45
361,636.1,581.95
362,616.9,580.8
363,603.07,574.27
364,528.38,494.02
365,543.36,506.88
366,514.37,512.26
367,509.38,525.12
368,480.38,533.95
369,477.5,526.27
370,489.79,510.91
371,495.74,496.51
372,691.39,707.14
373,671.62,707.14
374,684.67,694.08
375,657.98,724.03
376,645.12,721.54
377,637.06,737.28
378,624.38,729.22
379,619.58,706.56
380,599.42,707.52
381,608.26,699.07
382,590.21,689.66
383,590.59,668.74
384,592.51,643.78
385,603.07,644.16
386,611.14,672.77
387,614.4,645.7
388,628.42,662.59
389,623.62,677.57
390,646.27,681.98
391,656.26,677.18
392,636.1,695.04
393,654.72,691.78
394,665.66,686.02
395,681.79,661.82
396,662.02,653.76
397,651.46,660.29
398,638.59,647.42
399,602.69,620.35
400,612.67,625.54
401,574.85,728.83
402,558.34,721.92
403,546.24,715.97
404,536.45,703.49
405,530.5,694.08
406,548.93,700.61
407,563.14,707.52
408,565.25,691.01
409,554.69,668.35
410,562.75,658.18
411,543.74,658.56
412,556.22,633.98
413,566.4,646.08
414,580.8,640.51
415,375.55,532.42
416,397.63,519.55
417,361.34,533.57
418,454.66,506.11
419,446.98,494.78
420,428.74,497.66
421,461.95,489.22
422,459.46,567.55
423,456.96,548.93
424,448.13,535.68
425,429.5,544.9
426,417.41,543.74
427,410.3,561.02
428,380.35,561.41
429,369.02,567.55
430,357.7,552.19
431,351.74,568.7
432,332.74,567.55
433,342.34,591.74
434,362.11,602.11
435,370.18,608.64
436,354.05,619.97
437,541.82,545.28
438,521.09,530.69
439,503.04,559.1
440,485.18,559.49
441,529.15,561.02
442,532.8,548.93
443,556.99,560.26
444,577.34,541.25
445,583.3,545.66
446,540.48,581.57
447,559.87,579.26
448,581.76,579.26
449,576.38,584.83
450,588.1,586.37
451,589.82,607.1
452,571.2,606.53
453,556.22,609.41
454,547.01,599.42
455,522.82,615.17
456,508.22,615.17
457,493.82,607.1
458,470.78,606.14
459,500.16,590.02
460,519.17,596.16
461,489.22,578.69
