id,x,y
1,6489,5271
2,6120,5278
3,1701,5342
4,1264,5353
5,932,4299
6,658,4328
7,338,4270
8,245,4212
9,326,4002
10,47,4043
11,82,3408
12,361,3577
13,326,3443
14,1002,3996
15,1393,3751
16,1544,3711
17,1672,3856
18,1923,3885
19,2401,3763
20,1684,4445
21,1853,4619
22,2709,4707
23,2861,4544
24,3030,4689
25,3088,4217
26,2884,4305
27,2896,4083
28,2855,3897
29,2645,3647
30,3263,4252
31,3624,4118
32,3758,4311
33,3950,4101
34,4090,4538
35,3956,4625
36,4283,4485
37,4329,4643
38,4720,4584
39,5063,4905
40,5372,4363
41,5110,4421
42,4813,4334
43,4953,4060
44,4801,3973
45,4731,4095
46,4562,4165
47,4422,4258
48,4446,3944
49,4854,3856
50,5500,3524
51,5827,3518
52,5419,3414
53,5844,3408
54,6269,3553
55,6223,3280
56,6339,3658
57,4615,3530
58,4510,3606
59,4347,3408
60,4865,3350
61,4714,3093
62,3782,3460
63,3572,3507
64,3508,3705
65,3345,3559
66,3129,3483
67,2873,3466
68,3100,3280
69,3008,3219
70,2841,3140
71,2702,3226
72,2515,3219
73,2366,3148
74,2322,3253
75,2160,3221
76,2080,3286
77,1841,3284
78,1855,3409
79,1911,3549
80,1795,3447
81,2044,3400
82,2781,3016
83,2881,2990
84,2653,3021
85,2737,2918
86,2616,2925
87,2615,2865
88,2515,2856
89,2422,2837
90,2618,2741
91,2650,2718
92,2722,2770
93,2748,2721
94,2522,2709
95,2474,2693
96,2744,2635
97,2823,2699
98,2665,2613
99,2713,2558
100,2615,2539
101,2551,2567
102,2513,2525
103,2406,2476
104,3065,2888
105,3039,3009
106,2992,2898
107,3071,2841
108,3197,2944
109,3327,3053
110,3622,3084
111,3481,3048
112,3802,3102
113,3722,3126
114,3897,3183
115,3890,3283
116,3897,2991
117,4121,2948
118,4044,2849
119,3909,2809
120,5841,2744
121,5797,2658
122,5697,2635
123,5497,2809
124,5446,2802
125,5435,2762
126,5392,2789
127,5415,2678
128,5376,2646
129,5455,2611
130,5420,2565
131,5333,2605
132,5605,2520
133,5697,2464
134,5662,2450
135,5656,2417
136,5247,2535
137,5219,2479
138,4303,2848
139,4287,3050
140,4184,3048
141,4029,2720
142,4108,2734
143,4170,2687
144,4171,2745
145,4249,2736
146,4280,2677
147,4315,2648
148,3750,2792
149,3612,2866
150,2965,2694
151,3204,2701
152,3327,2781
153,3470,2648
154,3438,2742
155,3470,2754
156,3525,2736
157,3617,2726
158,3603,2671
159,3690,2675
160,3742,2636
161,3949,2995
162,2126,2325
163,2164,2323
164,2272,2415
165,2258,2318
166,2225,2205
167,2401,2153
168,2476,2158
169,2510,2162
170,2537,2138
171,2563,2113
172,2569,2067
173,2576,2220
174,2707,2126
175,5133,2407
176,5083,2437
177,4993,2438
178,4896,2463
179,4779,2509
180,4731,2502
181,4762,2532
182,4816,2457
183,4766,2397
184,4795,2344
185,4703,2403
186,4658,2427
187,4608,2444
188,5205,2361
189,5144,2348
190,5050,2328
191,5040,2376
192,5608,2419
193,5530,2427
194,5483,2364
195,5344,2433
196,5391,2350
197,5345,2537
198,5463,2701
199,5593,2726
200,5508,2297
201,5463,2294
202,5374,2298
203,5332,2277
204,5404,2205
205,5359,2192
206,5374,2150
207,5314,2158
208,5213,2137
209,5223,2209
210,5025,2235
211,4860,2215
212,4899,2201
213,4637,2262
214,4656,2298
215,4591,2314
216,4743,2285
217,4116,2623
218,4038,2622
219,3981,2611
220,3910,2618
221,3811,2570
222,3753,2556
223,3760,2503
224,3808,2493
225,3811,2436
226,3718,2500
227,3896,2437
228,3937,2442
229,4005,2479
230,3997,2419
231,4001,2366
232,4056,2335
233,4273,2504
234,4214,2519
235,4232,2460
236,4319,2507
237,4302,2439
238,4335,2490
239,4466,2418
240,4429,2359
241,4347,2339
242,3833,2742
243,3901,2707
244,3953,2688
245,3974,2657
246,1272,2539
247,1433,2520
248,1548,2481
249,1849,2433
250,1911,2299
251,2014,2352
252,1987,2365
253,2092,2259
254,2116,2231
255,3050,2558
256,2981,2585
257,2958,2546
258,2873,2488
259,2789,2463
260,2694,2469
261,2727,2373
262,2800,2367
263,2875,2390
264,2955,2386
265,2885,2357
266,2689,2239
267,2731,2239
268,2790,2226
269,2693,2184
270,2657,2241
271,2617,2276
272,2836,1966
273,2780,1973
274,2817,2085
275,3008,2068
276,3527,2578
277,3432,2559
278,3382,2586
279,3403,2520
280,3327,2532
281,3378,2486
282,3278,2522
283,3213,2559
284,3172,2542
285,3171,2606
286,3139,2612
287,3090,2517
288,2994,2497
289,3048,2380
290,3086,2384
291,3147,2379
292,3180,2425
293,3229,2403
294,3231,2455
295,3301,2366
296,3276,2323
297,3316,2289
298,3269,2289
299,3220,2283
300,3146,2313
301,3478,2456
302,3472,2392
303,3547,2445
304,3520,2380
305,2977,2292
306,2955,2272
307,3013,2281
308,3064,2323
309,3041,2325
310,3103,2277
311,3126,2313
312,3120,2349
313,3232,2331
314,3191,2262
315,3248,2241
316,3213,2216
317,3274,2239
318,3352,2252
319,3348,2216
320,3356,2401
321,3383,2353
322,3444,2298
323,3470,2267
324,3413,2259
325,3534,2269
326,3553,2308
327,3498,2284
328,3538,2230
329,3571,2221
330,3458,2225
331,3667,2387
332,3768,2373
333,3840,2382
334,3817,2293
335,3758,2250
336,3739,2224
337,3714,2212
338,3728,2183
339,3638,2240
340,3665,2220
341,3611,2242
342,3588,2373
343,3601,2455
344,3590,2548
345,4099,2365
346,4127,2306
347,4184,2294
348,4137,2278
349,4090,2257
350,4000,2253
351,3952,2266
352,3922,2286
353,3928,2338
354,3859,2193
355,3894,2196
356,3845,2240
357,3827,2220
358,3783,2224
359,3806,2209
360,3766,2304
361,3724,2286
362,4288,2245
363,4254,2218
364,4237,2258
365,4470,2334
366,4578,2166
367,4617,2086
368,4706,2063
369,4682,1964
370,4654,1943
371,4686,1903
372,5264,2006
373,5279,2026
374,5291,2070
375,5291,2167
376,5352,2121
377,5267,2017
378,5062,1888
379,5030,1890
380,5008,1920
381,4974,1898
382,4928,1908
383,5123,1917
384,5177,1894
385,5213,1930
386,5174,1962
387,5105,1969
388,5212,1887
389,5226,1873
390,5228,1900
391,5234,1994
392,5122,2089
393,5068,2145
394,4739,2004
395,4783,1977
396,4741,1940
397,4625,1985
398,4588,1990
399,4441,2046
400,4391,2046
401,4421,1896
402,4573,1902
403,4155,2040
404,4118,2033
405,4283,2074
406,4221,2090
407,4017,2101
408,3958,2121
409,4163,2165
410,4045,1976
411,4089,1994
412,4105,1956
413,4077,1930
414,4042,1929
415,3980,1964
416,3944,1961
417,4061,1882
418,3800,2090
419,3732,2057
420,3699,1991
421,3622,2021
422,3666,1983
423,3696,1923
424,3929,1997
425,3870,2031
426,3871,1978
427,3822,1992
428,3796,2008
429,3823,1929
430,3821,1958
431,3849,1916
432,3912,1919
433,3920,1899
434,3873,1883
435,3832,1879
436,3792,1888
437,3748,1869
438,3703,1868
439,3631,1864
440,4253,1948
441,4255,1879
442,4238,1901
443,4196,1884
444,4184,1925
445,4149,1910
446,4115,1918
447,4084,1848
448,4018,1850
449,4030,1880
450,3952,1866
451,3913,1834
452,3946,1783
453,3974,1765
454,4007,1789
455,4033,1772
456,4108,1782
457,4083,1808
458,4166,1828
459,4234,1813
460,4218,1782
461,4063,1721
462,4085,1722
